survey_round,V1
1,31/03/2020
3,14/04/2020
5,26/04/2020
7,17/05/2020
9,27/05/2020
11,10/06/2020
13,23/06/2020
15,08/07/2020
17,22/07/2020
19,08/08/2020
2,09/04/2020
4,23/04/2020
6,06/05/2020
8,24/05/2020
10,03/06/2020
12,17/06/2020
14,30/06/2020
16,15/07/2020
18,28/07/2020
20,18/08/2020
22,01/09/2020
24,10/09/2020
26,21/09/2020
28,06/10/2020
30,20/10/2020
32,04/11/2020
34,18/11/2020
36,28/11/2020
38,15/12/2020
40,28/12/2020
42,08/01/2021
44,26/01/2021
21,24/08/2020
23,03/09/2020
25,16/09/2020
27,30/09/2020
29,14/10/2020
31,28/10/2020
33,10/11/2020
35,23/11/2020
37,08/12/2020
39,22/12/2020
41,05/01/2021
43,18/01/2021
45,31/01/2021
700,24/05/2020
