,Study,Vaccination scenario,Attendance,Rel. Inc. - Schools,Rel. Red. - Vaccination,Overall Impact
1,2. Davies et al,vax 1,Both,1.6 (1.6 - 1.7),0.9 (0.8 - 0.9),1.4 (1.3 - 1.5)
2,2. Davies et al,vax 2,Both,1.9 (1.8 - 2.0),0.7 (0.6 - 0.7),1.3 (1.2 - 1.3)
3,2. Davies et al,vax 3,Both,3.1 (2.9 - 3.3),0.4 (0.3 - 0.4),1.1 (1.1 - 1.2)
4,3. ONS,vax 1,Both,1.8 (1.7 - 1.8),0.9 (0.9 - 0.9),1.5 (1.5 - 1.6)
5,3. ONS,vax 2,Both,2.0 (1.9 - 2.1),0.7 (0.7 - 0.7),1.4 (1.3 - 1.5)
6,3. ONS,vax 3,Both,3.2 (3.0 - 3.5),0.4 (0.4 - 0.4),1.3 (1.2 - 1.3)
7,4. Viner et al,vax 1,Both,2.0 (1.9 - 2.1),0.9 (0.9 - 0.9),1.7 (1.7 - 1.8)
8,4. Viner et al,vax 2,Both,2.3 (2.1 - 2.4),0.7 (0.7 - 0.7),1.6 (1.6 - 1.7)
9,4. Viner et al,vax 3,Both,3.5 (3.2 - 3.8),0.4 (0.4 - 0.5),1.5 (1.4 - 1.6)
10,5. CoMix fit,vax 1,Both,1.4 (1.4 - 1.5),0.9 (0.8 - 0.9),1.2 (1.2 - 1.3)
11,5. CoMix fit,vax 2,Both,1.7 (1.6 - 1.7),0.6 (0.6 - 0.7),1.1 (1.0 - 1.1)
12,5. CoMix fit,vax 3,Both,2.7 (2.6 - 2.9),0.3 (0.3 - 0.3),0.9 (0.8 - 0.9)
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
